Best trial: 815. Best value: 0.0300953: 100%
 1000/1000 [2:01:27<00:00,  7.88s/it]
[I 2025-08-03 12:08:26,297] Trial 22 finished with value: 0.03189195422576913 and parameters: {'min_abs_corr': 0.005684066902128515, 'max_pair_corr': 0.8855317710127022, 'n_estimators': 1349, 'learning_rate': 0.010306242662528855, 'max_depth': 9, 'num_leaves': 300, 'min_child_samples': 7, 'min_child_weight': 0.021588181456714785, 'subsample': 0.66297551563337, 'colsample_bytree': 0.4406165621623042, 'reg_alpha': 0.002092128910176761, 'reg_lambda': 0.09661264306451535}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:08:35,376] Trial 23 finished with value: 0.031051413759582952 and parameters: {'min_abs_corr': 0.005829109450012858, 'max_pair_corr': 0.9539897829124365, 'n_estimators': 1340, 'learning_rate': 0.009789606474253393, 'max_depth': 9, 'num_leaves': 266, 'min_child_samples': 6, 'min_child_weight': 0.02058194814372471, 'subsample': 0.6700258417427827, 'colsample_bytree': 0.45141720860749124, 'reg_alpha': 0.0021857313531132233, 'reg_lambda': 0.09851268227009718}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:08:44,120] Trial 24 finished with value: 0.031121541738191327 and parameters: {'min_abs_corr': 0.006412772105413921, 'max_pair_corr': 0.9348623519590056, 'n_estimators': 1391, 'learning_rate': 0.010063462633382213, 'max_depth': 10, 'num_leaves': 280, 'min_child_samples': 7, 'min_child_weight': 0.021758937961670853, 'subsample': 0.6410160292994234, 'colsample_bytree': 0.42145663844241543, 'reg_alpha': 0.00224037729821065, 'reg_lambda': 0.09446819181495429}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:08:48,343] Trial 25 finished with value: 0.03155691238678299 and parameters: {'min_abs_corr': 0.006447633111645489, 'max_pair_corr': 0.9145420033760892, 'n_estimators': 1293, 'learning_rate': 0.010261672633730628, 'max_depth': 5, 'num_leaves': 274, 'min_child_samples': 7, 'min_child_weight': 0.020217886140446586, 'subsample': 0.6516615689449226, 'colsample_bytree': 0.4511974640243114, 'reg_alpha': 0.002169179829663521, 'reg_lambda': 0.0966119472100664}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:08:55,500] Trial 26 finished with value: 0.03042730139579324 and parameters: {'min_abs_corr': 0.005790601140310554, 'max_pair_corr': 0.9795170734678211, 'n_estimators': 1426, 'learning_rate': 0.009455952283676282, 'max_depth': 7, 'num_leaves': 262, 'min_child_samples': 6, 'min_child_weight': 0.021317874940711298, 'subsample': 0.6309763389952016, 'colsample_bytree': 0.4383511295256162, 'reg_alpha': 0.002094617459224644, 'reg_lambda': 0.09542158823458209}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:01,782] Trial 27 finished with value: 0.03092381671927511 and parameters: {'min_abs_corr': 0.00583219074710524, 'max_pair_corr': 1.0205249911686236, 'n_estimators': 1451, 'learning_rate': 0.009358287929147627, 'max_depth': 5, 'num_leaves': 260, 'min_child_samples': 6, 'min_child_weight': 0.021249985125834567, 'subsample': 0.6361203249724406, 'colsample_bytree': 0.42602983903621994, 'reg_alpha': 0.0020917314532770807, 'reg_lambda': 0.09471233386048974}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:08,240] Trial 28 finished with value: 0.030478122952716857 and parameters: {'min_abs_corr': 0.0059353490103048814, 'max_pair_corr': 0.979330070151557, 'n_estimators': 1256, 'learning_rate': 0.00952500055838321, 'max_depth': 7, 'num_leaves': 286, 'min_child_samples': 6, 'min_child_weight': 0.021526727176214632, 'subsample': 0.6569030575049571, 'colsample_bytree': 0.4358815471996524, 'reg_alpha': 0.002108507635274948, 'reg_lambda': 0.09380622019516945}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:15,882] Trial 29 finished with value: 0.030962729446196692 and parameters: {'min_abs_corr': 0.005977030172039085, 'max_pair_corr': 1.0663283287946992, 'n_estimators': 1247, 'learning_rate': 0.009468341347398193, 'max_depth': 7, 'num_leaves': 291, 'min_child_samples': 6, 'min_child_weight': 0.021856058836755808, 'subsample': 0.6576165991788445, 'colsample_bytree': 0.4366954250011444, 'reg_alpha': 0.0020087121342306133, 'reg_lambda': 0.09365682856084506}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:18,848] Trial 30 finished with value: 0.033101675763551254 and parameters: {'min_abs_corr': 0.005780297926610042, 'max_pair_corr': 1.0108325891603012, 'n_estimators': 1249, 'learning_rate': 0.009234804368357663, 'max_depth': 3, 'num_leaves': 285, 'min_child_samples': 6, 'min_child_weight': 0.020820568175912116, 'subsample': 0.6277004326518846, 'colsample_bytree': 0.43566761371595053, 'reg_alpha': 0.002060692908715827, 'reg_lambda': 0.09107720877065292}. Best is trial 21 with value: 0.03025798159015493.
[I 2025-08-03 12:09:28,491] Trial 31 finished with value: 0.031125963076901447 and parameters: {'min_abs_corr': 0.005941850325156659, 'max_pair_corr': 0.9783186004341741, 'n_estimators': 1396, 'learning_rate': 0.009733884972169773, 'max_depth': 9, 'num_leaves': 275, 'min_child_samples': 6, 'min_child_weight': 0.021432070413787585, 'subsample': 0.6702208378175152, 'colsample_bytree': 0.43848816433352544, 'reg_alpha': 0.00209999706171391, 'reg_lambda': 0.0980535482375137}. Best is trial 21 with value: 0.03025798159015493.
