Best trial: 961. Best value: 0.0309166: 100%
 1000/1000 [1:01:28<00:00,  1.75s/it]
[I 2025-08-01 09:15:25,961] Trial 22 finished with value: 0.06400095372978351 and parameters: {'min_abs_corr': 0.06323406610726737, 'max_pair_corr': 0.9678714120611287, 'n_estimators': 1228, 'learning_rate': 0.0014610145460500876, 'max_depth': 7, 'min_child_weight': 0.002895286576386898, 'subsample': 0.7803912376640136, 'colsample_bytree': 0.7447097378729391, 'gamma': 0.0018032776461702118, 'reg_alpha': 2.979868202248098, 'reg_lambda': 1.8007908691594676}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:28,750] Trial 23 finished with value: 0.08946921088918068 and parameters: {'min_abs_corr': 0.060722080033496835, 'max_pair_corr': 0.9692909339725059, 'n_estimators': 1232, 'learning_rate': 0.0019211299427364583, 'max_depth': 6, 'min_child_weight': 0.011657210622096868, 'subsample': 0.7700472005795816, 'colsample_bytree': 0.730117727204729, 'gamma': 0.6243679515133402, 'reg_alpha': 3.166456628498223, 'reg_lambda': 1.8432570743459147}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:32,225] Trial 24 finished with value: 0.06417847839096472 and parameters: {'min_abs_corr': 0.045688240660934375, 'max_pair_corr': 0.9810734700616358, 'n_estimators': 1441, 'learning_rate': 0.009487970412529401, 'max_depth': 10, 'min_child_weight': 0.002854312826186484, 'subsample': 0.94196909897356, 'colsample_bytree': 0.641467693580595, 'gamma': 0.062423207009439846, 'reg_alpha': 4.15782572878348, 'reg_lambda': 1.0630110551803287}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:33,962] Trial 25 finished with value: 0.09505170532499188 and parameters: {'min_abs_corr': 0.08339929680264145, 'max_pair_corr': 0.9553492940573357, 'n_estimators': 1184, 'learning_rate': 0.0017464469425777607, 'max_depth': 2, 'min_child_weight': 0.002998502505512749, 'subsample': 0.9923328771890569, 'colsample_bytree': 0.569053225812507, 'gamma': 1.141468199419273, 'reg_alpha': 2.2178781343826413, 'reg_lambda': 2.6407512046114396}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:36,470] Trial 26 finished with value: 0.08762338717584872 and parameters: {'min_abs_corr': 0.07436097292318959, 'max_pair_corr': 0.9392725127297392, 'n_estimators': 1303, 'learning_rate': 0.0037350971231880836, 'max_depth': 6, 'min_child_weight': 0.012304200710021035, 'subsample': 0.7028442513351851, 'colsample_bytree': 0.8504336269851224, 'gamma': 0.5534250437876903, 'reg_alpha': 2.949866834933749, 'reg_lambda': 1.9505184717709405}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:38,708] Trial 27 finished with value: 0.08690832349431536 and parameters: {'min_abs_corr': 0.061630149230792165, 'max_pair_corr': 0.9797487900196332, 'n_estimators': 1488, 'learning_rate': 0.014609783003555098, 'max_depth': 14, 'min_child_weight': 0.07541929239613407, 'subsample': 0.8699186189462061, 'colsample_bytree': 0.7463705608030081, 'gamma': 1.0970390157379044, 'reg_alpha': 0.9841935389052487, 'reg_lambda': 2.4775281311422868}. Best is trial 13 with value: 0.0587921652434087.
[I 2025-08-01 09:15:56,750] Trial 28 finished with value: 0.05735471330609752 and parameters: {'min_abs_corr': 0.055369256168856996, 'max_pair_corr': 0.9673165013789368, 'n_estimators': 1071, 'learning_rate': 0.00162761597959813, 'max_depth': 11, 'min_child_weight': 0.002693277813130479, 'subsample': 0.9279124036397037, 'colsample_bytree': 0.9309199769800438, 'gamma': 0.003941042400143249, 'reg_alpha': 1.7455099324673098, 'reg_lambda': 1.2395791957980506}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:15:59,914] Trial 29 finished with value: 0.07593041168431713 and parameters: {'min_abs_corr': 0.04772202779377348, 'max_pair_corr': 0.9486837799437784, 'n_estimators': 1101, 'learning_rate': 0.002676907273505778, 'max_depth': 12, 'min_child_weight': 0.005027089704170799, 'subsample': 0.9303037842964204, 'colsample_bytree': 0.9447688809333725, 'gamma': 0.5173765066044497, 'reg_alpha': 1.6311416296768821, 'reg_lambda': 0.8345209819881572}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:01,459] Trial 30 finished with value: 0.10530642104976387 and parameters: {'min_abs_corr': 0.034984850286051805, 'max_pair_corr': 0.9892760818826923, 'n_estimators': 688, 'learning_rate': 0.0050145673563311175, 'max_depth': 15, 'min_child_weight': 0.0010750802551916868, 'subsample': 0.9632102511885, 'colsample_bytree': 0.9334029889121502, 'gamma': 2.2030043881661423, 'reg_alpha': 1.227343991995214, 'reg_lambda': 1.326522638462817}. Best is trial 28 with value: 0.05735471330609752.
[I 2025-08-01 09:16:06,072] Trial 31 finished with value: 0.0727624561471099 and parameters: {'min_abs_corr': 0.0542547710044829, 'max_pair_corr': 0.9678598918975686, 'n_estimators': 1195, 'learning_rate': 0.0015466052524136555, 'max_depth': 9, 'min_child_weight': 0.002364824201208523, 'subsample': 0.9065399749115375, 'colsample_bytree': 0.9082636722057467, 'gamma': 0.3315140554756843, 'reg_alpha': 1.9797075316589914, 'reg_lambda': 0.6075768471491333}. Best is trial 28 with value: 0.05735471330609752.
