Best trial: 92. Best value: 0.030985: 100%
 100/100 [20:07<00:00, 17.40s/it]
[I 2025-07-30 11:09:15,636] Trial 38 finished with value: 0.03244523458035224 and parameters: {'min_abs_corr': 0.04674567967871471, 'max_pair_corr': 0.9247282826124058, 'n_estimators': 1210, 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.19231599088605691, 'bootstrap': False}. Best is trial 38 with value: 0.03244523458035224.
[I 2025-07-30 11:09:24,939] Trial 39 finished with value: 0.03290969049637334 and parameters: {'min_abs_corr': 0.044293249878525356, 'max_pair_corr': 0.9487831514957435, 'n_estimators': 982, 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.11724881809914656, 'bootstrap': False}. Best is trial 38 with value: 0.03244523458035224.
[I 2025-07-30 11:09:38,675] Trial 40 finished with value: 0.04016855724582186 and parameters: {'min_abs_corr': 0.05078455233493233, 'max_pair_corr': 0.924974320825804, 'n_estimators': 1499, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.21409529134041327, 'bootstrap': False}. Best is trial 38 with value: 0.03244523458035224.
[I 2025-07-30 11:09:51,125] Trial 41 finished with value: 0.03260263977086064 and parameters: {'min_abs_corr': 0.058589714396485956, 'max_pair_corr': 0.9279470468638863, 'n_estimators': 1226, 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.18390699969645127, 'bootstrap': False}. Best is trial 38 with value: 0.03244523458035224.
[I 2025-07-30 11:10:04,590] Trial 42 finished with value: 0.03213183348367461 and parameters: {'min_abs_corr': 0.04126899003843432, 'max_pair_corr': 0.9282928175382376, 'n_estimators': 1189, 'max_depth': 42, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.25337581866736386, 'bootstrap': False}. Best is trial 42 with value: 0.03213183348367461.
[I 2025-07-30 11:10:19,421] Trial 43 finished with value: 0.03173746155070757 and parameters: {'min_abs_corr': 0.03676928136095814, 'max_pair_corr': 0.929260356378123, 'n_estimators': 1161, 'max_depth': 39, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.43431877449406664, 'bootstrap': False}. Best is trial 43 with value: 0.03173746155070757.
[I 2025-07-30 11:10:33,766] Trial 44 finished with value: 0.031690556193198535 and parameters: {'min_abs_corr': 0.03635014905965698, 'max_pair_corr': 0.9274491490794494, 'n_estimators': 1153, 'max_depth': 43, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.4405942729581115, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:10:48,855] Trial 45 finished with value: 0.03622900108450672 and parameters: {'min_abs_corr': 0.035559526904802435, 'max_pair_corr': 0.9478764274992124, 'n_estimators': 1183, 'max_depth': 45, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.4353624843095394, 'bootstrap': True}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:11:01,482] Trial 46 finished with value: 0.03209869708336017 and parameters: {'min_abs_corr': 0.029406696326009212, 'max_pair_corr': 0.9290170180920342, 'n_estimators': 1003, 'max_depth': 33, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.35269111214875787, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:11:14,230] Trial 47 finished with value: 0.03191054571803177 and parameters: {'min_abs_corr': 0.025222303459964807, 'max_pair_corr': 0.92855572490555, 'n_estimators': 1019, 'max_depth': 32, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.37853358821602084, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:11:25,959] Trial 48 finished with value: 0.03274731587361946 and parameters: {'min_abs_corr': 0.026089892598434954, 'max_pair_corr': 0.9295548095780019, 'n_estimators': 1011, 'max_depth': 26, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3645065150463477, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:11:39,935] Trial 49 finished with value: 0.033027715382373556 and parameters: {'min_abs_corr': 0.015099229959139529, 'max_pair_corr': 0.928311177403915, 'n_estimators': 897, 'max_depth': 32, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.47903701028355267, 'bootstrap': True}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:11:50,578] Trial 50 finished with value: 0.04060003837593306 and parameters: {'min_abs_corr': 0.03143423787496863, 'max_pair_corr': 0.9888929871242619, 'n_estimators': 1121, 'max_depth': 29, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 0.38744665834128805, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:01,673] Trial 51 finished with value: 0.032126525714259876 and parameters: {'min_abs_corr': 0.04115559797316745, 'max_pair_corr': 0.922752561329528, 'n_estimators': 1033, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.2537004038189628, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:13,565] Trial 52 finished with value: 0.032095238114058344 and parameters: {'min_abs_corr': 0.03791712237174956, 'max_pair_corr': 0.9207091643353843, 'n_estimators': 1076, 'max_depth': 37, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.2683353908783809, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:23,732] Trial 53 finished with value: 0.033256220564092234 and parameters: {'min_abs_corr': 0.03618297771019582, 'max_pair_corr': 0.9108491071860361, 'n_estimators': 1037, 'max_depth': 36, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.3012628339097382, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:32,266] Trial 54 finished with value: 0.03880326732831709 and parameters: {'min_abs_corr': 0.031132126599654832, 'max_pair_corr': 0.9234061438015176, 'n_estimators': 919, 'max_depth': 34, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 0.4028774538268978, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:43,853] Trial 55 finished with value: 0.03246494894794778 and parameters: {'min_abs_corr': 0.016000578780322607, 'max_pair_corr': 0.9200844186123273, 'n_estimators': 1109, 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.33251164053341425, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:12:58,713] Trial 56 finished with value: 0.0332528247687168 and parameters: {'min_abs_corr': 0.04115708125467154, 'max_pair_corr': 0.9318203741756593, 'n_estimators': 1060, 'max_depth': 23, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.25520065549008697, 'bootstrap': True}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:13:07,384] Trial 57 finished with value: 0.03253966811271027 and parameters: {'min_abs_corr': 0.027713344560683032, 'max_pair_corr': 0.9132558038260061, 'n_estimators': 811, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.47813476597995597, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
[I 2025-07-30 11:13:16,334] Trial 58 finished with value: 0.036685657870272656 and parameters: {'min_abs_corr': 0.021932014070640708, 'max_pair_corr': 0.9068224159216893, 'n_estimators': 941, 'max_depth': 33, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.35416208622848444, 'bootstrap': False}. Best is trial 44 with value: 0.031690556193198535.
