Best trial: 431. Best value: 0.0288038: 100%
 1000/1000 [7:52:59<00:00, 29.78s/it]
[I 2025-08-01 09:37:49,251] Trial 24 finished with value: 0.03059163128774394 and parameters: {'min_abs_corr': 0.05721737152203368, 'max_pair_corr': 0.9554753878714226, 'iterations': 1384, 'learning_rate': 0.027775612848399345, 'depth': 4, 'l2_leaf_reg': 4.710274858116028, 'subsample': 0.6547846811572764, 'rsm': 0.8034757184854484, 'bagging_temperature': 0.7515890783350885}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:37:57,130] Trial 25 finished with value: 0.0334024087278861 and parameters: {'min_abs_corr': 0.056448905943389485, 'max_pair_corr': 0.9528865450269777, 'iterations': 1371, 'learning_rate': 0.016079204870000082, 'depth': 3, 'l2_leaf_reg': 1.0139090374696158, 'subsample': 0.6690375769768253, 'rsm': 0.8050573498795579, 'bagging_temperature': 0.7209450360651625}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:38:09,153] Trial 26 finished with value: 0.03094729099784968 and parameters: {'min_abs_corr': 0.04306629387630643, 'max_pair_corr': 0.9535895950036756, 'iterations': 1333, 'learning_rate': 0.07943844483676701, 'depth': 4, 'l2_leaf_reg': 4.895825742621078, 'subsample': 0.5018178165952063, 'rsm': 0.8821627781310816, 'bagging_temperature': 0.7306171006433202}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:38:14,847] Trial 27 finished with value: 0.03207135072178425 and parameters: {'min_abs_corr': 0.052387669209537725, 'max_pair_corr': 0.9388362739040967, 'iterations': 627, 'learning_rate': 0.03213741170741568, 'depth': 4, 'l2_leaf_reg': 2.5322728527164853, 'subsample': 0.7445336234823469, 'rsm': 0.8998989450216746, 'bagging_temperature': 0.27420685496960906}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:38:20,334] Trial 28 finished with value: 0.032955982947738514 and parameters: {'min_abs_corr': 0.0810560588464712, 'max_pair_corr': 0.957186193268364, 'iterations': 1004, 'learning_rate': 0.15342930535780508, 'depth': 3, 'l2_leaf_reg': 3.3824547982421107, 'subsample': 0.5721842082705831, 'rsm': 0.8229526860004285, 'bagging_temperature': 0.759318000231373}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:38:44,414] Trial 29 finished with value: 0.031671271869095026 and parameters: {'min_abs_corr': 0.07245374276354483, 'max_pair_corr': 0.9451733475466151, 'iterations': 1914, 'learning_rate': 0.09180558119046318, 'depth': 5, 'l2_leaf_reg': 2.4341795655127956, 'subsample': 0.7025855468498016, 'rsm': 0.9176427611109903, 'bagging_temperature': 0.5390118077879235}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:38:55,901] Trial 30 finished with value: 0.031720029908012023 and parameters: {'min_abs_corr': 0.012938656648738958, 'max_pair_corr': 0.9666781952265658, 'iterations': 1239, 'learning_rate': 0.018040263116365658, 'depth': 4, 'l2_leaf_reg': 6.100506545137383, 'subsample': 0.5840023435828883, 'rsm': 0.7750837558241308, 'bagging_temperature': 0.95783360241375}. Best is trial 24 with value: 0.03059163128774394.
[I 2025-08-01 09:39:21,912] Trial 31 finished with value: 0.030473683760241267 and parameters: {'min_abs_corr': 0.03441020702996205, 'max_pair_corr': 0.9818816833469625, 'iterations': 1738, 'learning_rate': 0.049828885533515554, 'depth': 5, 'l2_leaf_reg': 5.015559604437332, 'subsample': 0.6331992248290198, 'rsm': 0.7439885726180906, 'bagging_temperature': 0.5012967521944066}. Best is trial 31 with value: 0.030473683760241267.
[I 2025-08-01 09:39:47,359] Trial 32 finished with value: 0.030842654315116413 and parameters: {'min_abs_corr': 0.046722088320917766, 'max_pair_corr': 0.9814225665263735, 'iterations': 1603, 'learning_rate': 0.05875927553850926, 'depth': 5, 'l2_leaf_reg': 4.862828917796795, 'subsample': 0.6490185986709496, 'rsm': 0.8460354579854794, 'bagging_temperature': 0.4810235778491666}. Best is trial 31 with value: 0.030473683760241267.
[I 2025-08-01 09:40:10,502] Trial 33 finished with value: 0.02960832058324651 and parameters: {'min_abs_corr': 0.03696927853162136, 'max_pair_corr': 0.9815977468367165, 'iterations': 1437, 'learning_rate': 0.0283687731173045, 'depth': 5, 'l2_leaf_reg': 3.893852141324669, 'subsample': 0.5482675941042775, 'rsm': 0.9976206153923604, 'bagging_temperature': 0.4444757844879261}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:40:28,321] Trial 34 finished with value: 0.030191203136169076 and parameters: {'min_abs_corr': 0.03524266445113069, 'max_pair_corr': 0.9586005906625074, 'iterations': 1391, 'learning_rate': 0.028822304689430277, 'depth': 5, 'l2_leaf_reg': 4.6290771883846435, 'subsample': 0.5450691262276026, 'rsm': 0.7527718888343153, 'bagging_temperature': 0.3173935193027144}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:40:48,246] Trial 35 finished with value: 0.030046856560168294 and parameters: {'min_abs_corr': 0.03643883210856598, 'max_pair_corr': 0.9494708902359836, 'iterations': 1440, 'learning_rate': 0.029531707749853545, 'depth': 5, 'l2_leaf_reg': 5.056490089210801, 'subsample': 0.6191335423640459, 'rsm': 0.9943531540389864, 'bagging_temperature': 0.27451713916857085}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:41:08,502] Trial 36 finished with value: 0.03058503126539368 and parameters: {'min_abs_corr': 0.03987704933689461, 'max_pair_corr': 0.9477245004867219, 'iterations': 1449, 'learning_rate': 0.015942596473713926, 'depth': 5, 'l2_leaf_reg': 6.219878779825851, 'subsample': 0.6175883788334383, 'rsm': 0.9908182414574238, 'bagging_temperature': 0.15108373365112437}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:41:24,115] Trial 37 finished with value: 0.030146580222100282 and parameters: {'min_abs_corr': 0.03601205487222742, 'max_pair_corr': 0.9155114443699143, 'iterations': 1288, 'learning_rate': 0.03324558380982855, 'depth': 5, 'l2_leaf_reg': 5.330464763850488, 'subsample': 0.5439584380592132, 'rsm': 0.9675103220330311, 'bagging_temperature': 0.3040693786920827}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:41:37,718] Trial 38 finished with value: 0.031649966321092404 and parameters: {'min_abs_corr': 0.026616405735723714, 'max_pair_corr': 0.9126686548243779, 'iterations': 1136, 'learning_rate': 0.027781509543265002, 'depth': 5, 'l2_leaf_reg': 3.947061571862063, 'subsample': 0.522636016979941, 'rsm': 0.998736713484772, 'bagging_temperature': 0.29592950400652723}. Best is trial 33 with value: 0.02960832058324651.
[I 2025-08-01 09:41:47,896] Trial 39 finished with value: 0.03312153125609567 and parameters: {'min_abs_corr': 0.05027248994921409, 'max_pair_corr': 0.9020276830950402, 'iterations': 1278, 'learning_rate': 0.012068561107919786, 'depth': 4, 'l2_leaf_reg': 5.316289619428717, 'subsample': 0.5513759863081817, 'rsm': 0.9591313070101961, 'bagging_temperature': 0.10910706020677974}. Best is trial 33 with value: 0.02960832058324651.
